symbol,number,multiplicity,wyckoff,site_symmetry,coordinates
P 1 1 2/m,58,2.0,l,2,"(1/2,1/2,z) (1/2,1/2,-z)"
P 1 1 2/m,58,2.0,k,2,"(1/2,0,z) (1/2,0,-z)"
P 1 1 2/m,58,2.0,j,2,"(0,1/2,z) (0,1/2,-z)"
P 1 1 2/m,58,2.0,i,2,"(0,0,z) (0,0,-z)"
P 1 1 2/m,58,1.0,h,2/m,"(1/2,1/2,1/2)"
P 1 1 2/m,58,1.0,g,2/m,"(1/2,1/2,0)"
P 1 1 2/m,58,1.0,f,2/m,"(1/2,0,1/2)"
P 1 1 2/m,58,1.0,e,2/m,"(0,1/2,1/2)"
P 1 1 2/m,58,1.0,d,2/m,"(0,1/2,0)"
P 1 1 2/m,58,1.0,c,2/m,"(1/2,0,0)"
P 1 1 2/m,58,1.0,b,2/m,"(0,0,1/2)"
P 1 1 2/m,58,1.0,a,2/m,"(0,0,0)"
P 2/m 1 1,59,4.0,o,1,"(x,y,z) (x,-y,-z) (-x,-y,-z) (-x,y,z)"
P 2/m 1 1,59,2.0,n,m,"(1/2,y,z) (1/2,-y,-z)"
P 2/m 1 1,59,2.0,m,m,"(0,y,z) (0,-y,-z)"
P 2/m 1 1,59,2.0,l,2,"(x,1/2,1/2) (-x,1/2,1/2)"
P 2/m 1 1,59,2.0,k,2,"(x,1/2,0) (-x,1/2,0)"
P 2/m 1 1,59,2.0,j,2,"(x,0,1/2) (-x,0,1/2)"
P 2/m 1 1,59,2.0,i,2,"(x,0,0) (-x,0,0)"
P 2/m 1 1,59,1.0,h,2/m,"(1/2,1/2,1/2)"
P 2/m 1 1,59,1.0,g,2/m,"(0,1/2,1/2)"
P 2/m 1 1,59,1.0,f,2/m,"(1/2,1/2,0)"
P 2/m 1 1,59,1.0,e,2/m,"(1/2,0,1/2)"
P 2/m 1 1,59,1.0,d,2/m,"(0,0,1/2)"
P 2/m 1 1,59,1.0,c,2/m,"(0,1/2,0)"
P 2/m 1 1,59,1.0,b,2/m,"(1/2,0,0)"
P 2/m 1 1,59,1.0,a,2/m,"(0,0,0)"
P 1 2_1/m 1,60,4.0,f,1,"(x,y,z) (-x,y+1/2,-z) (-x,-y,-z) (x,-y+1/2,z)"
P 1 2_1/m 1,60,2.0,e,m,"(x,1/4,z) (-x,3/4,-z)"
P 1 2_1/m 1,60,2.0,d,-1,"(1/2,0,1/2) (1/2,1/2,1/2)"
P 1 2_1/m 1,60,2.0,c,-1,"(0,0,1/2) (0,1/2,1/2)"
P 1 2_1/m 1,60,2.0,b,-1,"(1/2,0,0) (1/2,1/2,0)"
P 1 2_1/m 1,60,2.0,a,-1,"(0,0,0) (0,1/2,0)"
P 1 1 2_1/m,61,4.0,f,1,"(x,y,z) (-x,-y,z+1/2) (-x,-y,-z) (x,y,-z+1/2)"
P 1 1 2_1/m,61,2.0,e,m,"(x,y,1/4) (-x,-y,3/4)"
P 1 1 2_1/m,61,2.0,d,-1,"(1/2,1/2,0) (1/2,1/2,1/2)"
P 1 1 2_1/m,61,2.0,c,-1,"(1/2,0,0) (1/2,0,1/2)"
P 1 1 2_1/m,61,2.0,b,-1,"(0,1/2,0) (0,1/2,1/2)"
P 1 1 2_1/m,61,2.0,a,-1,"(0,0,0) (0,0,1/2)"
