symbol,number,multiplicity,wyckoff,site_symmetry,coordinates
I 2/b 2/m 2/m,345,4.0,e,mm2,"(x,0,1/4) (-x,0,3/4)"
I 2/b 2/m 2/m,345,4.0,d,.2/m.,"(3/4,1/4,1/4) (3/4,3/4,1/4)"
I 2/b 2/m 2/m,345,4.0,c,.2/m.,"(1/4,1/4,1/4) (1/4,3/4,1/4)"
I 2/b 2/m 2/m,345,4.0,b,2/m..,"(1/2,0,0) (1/2,0,1/2)"
I 2/b 2/m 2/m,345,4.0,a,2/m..,"(0,0,0) (0,0,1/2)"
I 2/c 2/m 2/m,346,16.0,j,1,"(x,y,z) (x,-y+1/2,-z) (-x,y+1/2,-z) (-x,-y,z) (-x,-y,-z) (-x,y+1/2,z) (x,-y+1/2,z) (x,y,-z)"
I 2/c 2/m 2/m,346,8.0,i,.m.,"(x,1/4,z) (x,1/4,-z) (-x,3/4,-z) (-x,3/4,z)"
I 2/c 2/m 2/m,346,8.0,h,m..,"(x,y,0) (x,-y+1/2,0) (-x,y+1/2,0) (-x,-y,0)"
I 2/c 2/m 2/m,346,8.0,g,.2.,"(3/4,y,1/4) (3/4,-y+1/2,3/4) (1/4,-y,3/4) (1/4,y+1/2,1/4)"
I 2/c 2/m 2/m,346,8.0,f,2..,"(0,0,z) (0,1/2,-z) (0,0,-z) (0,1/2,z)"
I 2/c 2/m 2/m,346,4.0,e,mm2,"(x,1/4,0) (-x,3/4,0)"
I 2/c 2/m 2/m,346,4.0,d,.2/m.,"(1/4,1/4,1/4) (1/4,1/4,3/4)"
I 2/c 2/m 2/m,346,4.0,c,.2/m.,"(3/4,1/4,1/4) (3/4,1/4,3/4)"
I 2/c 2/m 2/m,346,4.0,b,2/m..,"(1/2,0,0) (1/2,1/2,0)"
I 2/c 2/m 2/m,346,4.0,a,2/m..,"(0,0,0) (0,1/2,0)"
I 2/m 2/c 2/m,347,16.0,j,1,"(x,y,z) (-x+1/2,y,-z) (x+1/2,-y,-z) (-x,-y,z) (-x,-y,-z) (x+1/2,-y,z) (-x+1/2,y,z) (x,y,-z)"
I 2/m 2/c 2/m,347,8.0,i,.m.,"(1/4,y,z) (1/4,y,-z) (3/4,-y,-z) (3/4,-y,z)"
I 2/m 2/c 2/m,347,8.0,h,m..,"(x,y,0) (-x+1/2,y,0) (x+1/2,-y,0) (-x,-y,0)"
I 2/m 2/c 2/m,347,8.0,g,.2.,"(x,1/4,1/4) (-x+1/2,1/4,3/4) (-x,3/4,3/4) (x+1/2,3/4,1/4)"
I 2/m 2/c 2/m,347,8.0,f,2..,"(0,0,z) (1/2,0,-z) (0,0,-z) (1/2,0,z)"
I 2/m 2/c 2/m,347,4.0,e,mm2,"(1/4,y,0) (3/4,-y,0)"
I 2/m 2/c 2/m,347,4.0,d,.2/m.,"(1/4,3/4,1/4) (1/4,3/4,3/4)"
I 2/m 2/c 2/m,347,4.0,c,.2/m.,"(1/4,1/4,1/4) (1/4,1/4,3/4)"
I 2/m 2/c 2/m,347,4.0,b,2/m..,"(0,1/2,0) (1/2,1/2,0)"
I 2/m 2/c 2/m,347,4.0,a,2/m..,"(0,0,0) (1/2,0,0)"
I 2/m 2/a 2/m,348,16.0,j,1,"(x,y,z) (-x,y,-z+1/2) (-x,-y,z+1/2) (x,-y,-z) (-x,-y,-z) (x,-y,z+1/2) (x,y,-z+1/2) (-x,y,z)"
I 2/m 2/a 2/m,348,8.0,i,.m.,"(x,y,1/4) (-x,y,1/4) (-x,-y,3/4) (x,-y,3/4)"
I 2/m 2/a 2/m,348,8.0,h,m..,"(0,y,z) (0,y,-z+1/2) (0,-y,z+1/2) (0,-y,-z)"
I 2/m 2/a 2/m,348,8.0,g,.2.,"(1/4,3/4,z) (3/4,3/4,-z+1/2) (3/4,1/4,-z) (1/4,1/4,z+1/2)"
I 2/m 2/a 2/m,348,8.0,f,2..,"(x,0,0) (-x,0,1/2) (-x,0,0) (x,0,1/2)"
I 2/m 2/a 2/m,348,4.0,e,mm2,"(0,y,1/4) (0,-y,3/4)"
I 2/m 2/a 2/m,348,4.0,d,.2/m.,"(1/4,1/4,1/4) (3/4,1/4,1/4)"
I 2/m 2/a 2/m,348,4.0,c,.2/m.,"(1/4,3/4,1/4) (3/4,3/4,1/4)"
I 2/m 2/a 2/m,348,4.0,b,2/m..,"(0,1/2,0) (0,1/2,1/2)"
I 2/m 2/a 2/m,348,4.0,a,2/m..,"(0,0,0) (0,0,1/2)"
P 4,349,4.0,d,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z)"
P 4,349,2.0,c,2..,"(0,1/2,z) (1/2,0,z)"
P 4,349,1.0,b,4..,"(1/2,1/2,z)"
P 4,349,1.0,a,4..,"(0,0,z)"
P 41,350,4.0,a,1,"(x,y,z) (-x,-y,z+1/2) (-y,x,z+1/4) (y,-x,z+3/4)"
P 42,351,4.0,d,1,"(x,y,z) (-x,-y,z) (-y,x,z+1/2) (y,-x,z+1/2)"
P 42,351,2.0,c,2..,"(0,1/2,z) (1/2,0,z+1/2)"
P 42,351,2.0,b,2..,"(1/2,1/2,z) (1/2,1/2,z+1/2)"
P 42,351,2.0,a,2..,"(0,0,z) (0,0,z+1/2)"
P 43,352,4.0,a,1,"(x,y,z) (-x,-y,z+1/2) (-y,x,z+3/4) (y,-x,z+1/4)"
I 4,353,8.0,c,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z)"
I 4,353,4.0,b,2..,"(0,1/2,z) (1/2,0,z)"
I 4,353,2.0,a,4..,"(0,0,z)"
I 41,354,8.0,b,1,"(x,y,z) (-x+1/2,-y+1/2,z+1/2) (-y,x+1/2,z+1/4) (y+1/2,-x,z+3/4)"
I 41,354,4.0,a,2..,"(0,0,z) (0,1/2,z+1/4)"
P -4,355,4.0,h,1,"(x,y,z) (-x,-y,z) (y,-x,-z) (-y,x,-z)"
P -4,355,2.0,g,2..,"(0,1/2,z) (1/2,0,-z)"
P -4,355,2.0,f,2..,"(1/2,1/2,z) (1/2,1/2,-z)"
P -4,355,2.0,e,2..,"(0,0,z) (0,0,-z)"
P -4,355,1.0,d,-4..,"(1/2,1/2,1/2)"
P -4,355,1.0,c,-4..,"(1/2,1/2,0)"
P -4,355,1.0,b,-4..,"(0,0,1/2)"
P -4,355,1.0,a,-4..,"(0,0,0)"
I -4,356,8.0,g,1,"(x,y,z) (-x,-y,z) (y,-x,-z) (-y,x,-z)"
I -4,356,4.0,f,2..,"(0,1/2,z) (1/2,0,-z)"
I -4,356,4.0,e,2..,"(0,0,z) (0,0,-z)"
I -4,356,2.0,d,-4..,"(0,1/2,3/4)"
I -4,356,2.0,c,-4..,"(0,1/2,1/4)"
I -4,356,2.0,b,-4..,"(0,0,1/2)"
I -4,356,2.0,a,-4..,"(0,0,0)"
P 4/m,357,8.0,l,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x,-y,-z) (x,y,-z) (y,-x,-z) (-y,x,-z)"
P 4/m,357,4.0,k,m..,"(x,y,1/2) (-x,-y,1/2) (-y,x,1/2) (y,-x,1/2)"
P 4/m,357,4.0,j,m..,"(x,y,0) (-x,-y,0) (-y,x,0) (y,-x,0)"
P 4/m,357,4.0,i,2..,"(0,1/2,z) (1/2,0,z) (0,1/2,-z) (1/2,0,-z)"
P 4/m,357,2.0,h,4..,"(1/2,1/2,z) (1/2,1/2,-z)"
P 4/m,357,2.0,g,4..,"(0,0,z) (0,0,-z)"
P 4/m,357,2.0,f,2/m..,"(0,1/2,1/2) (1/2,0,1/2)"
P 4/m,357,2.0,e,2/m..,"(0,1/2,0) (1/2,0,0)"
P 4/m,357,1.0,d,4/m..,"(1/2,1/2,1/2)"
P 4/m,357,1.0,c,4/m..,"(1/2,1/2,0)"
P 4/m,357,1.0,b,4/m..,"(0,0,1/2)"
P 4/m,357,1.0,a,4/m..,"(0,0,0)"
P 42/m,358,8.0,k,1,"(x,y,z) (-x,-y,z) (-y,x,z+1/2) (y,-x,z+1/2) (-x,-y,-z) (x,y,-z) (y,-x,-z+1/2) (-y,x,-z+1/2)"
P 42/m,358,4.0,j,m..,"(x,y,0) (-x,-y,0) (-y,x,1/2) (y,-x,1/2)"
P 42/m,358,4.0,i,2..,"(0,1/2,z) (1/2,0,z+1/2) (0,1/2,-z) (1/2,0,-z+1/2)"
P 42/m,358,4.0,h,2..,"(1/2,1/2,z) (1/2,1/2,z+1/2) (1/2,1/2,-z) (1/2,1/2,-z+1/2)"
P 42/m,358,4.0,g,2..,"(0,0,z) (0,0,z+1/2) (0,0,-z) (0,0,-z+1/2)"
P 42/m,358,2.0,f,-4..,"(1/2,1/2,1/4) (1/2,1/2,3/4)"
P 42/m,358,2.0,e,-4..,"(0,0,1/4) (0,0,3/4)"
P 42/m,358,2.0,d,2/m..,"(0,1/2,1/2) (1/2,0,0)"
P 42/m,358,2.0,c,2/m..,"(0,1/2,0) (1/2,0,1/2)"
P 42/m,358,2.0,b,2/m..,"(1/2,1/2,0) (1/2,1/2,1/2)"
P 42/m,358,2.0,a,2/m..,"(0,0,0) (0,0,1/2)"
P 4/n,359,8.0,g,1,"(x,y,z) (-x,-y,z) (-y+1/2,x+1/2,z) (y+1/2,-x+1/2,z) (-x+1/2,-y+1/2,-z) (x+1/2,y+1/2,-z) (y,-x,-z) (-y,x,-z)"
P 4/n,359,4.0,f,2..,"(0,0,z) (1/2,1/2,z) (1/2,1/2,-z) (0,0,-z)"
P 4/n,359,4.0,e,-1,"(1/4,1/4,1/2) (3/4,3/4,1/2) (1/4,3/4,1/2) (3/4,1/4,1/2)"
P 4/n,359,4.0,d,-1,"(1/4,1/4,0) (3/4,3/4,0) (1/4,3/4,0) (3/4,1/4,0)"
P 4/n,359,2.0,c,4..,"(0,1/2,z) (1/2,0,-z)"
P 4/n,359,2.0,b,-4..,"(0,0,1/2) (1/2,1/2,1/2)"
P 4/n,359,2.0,a,-4..,"(0,0,0) (1/2,1/2,0)"
P 4/n,360,8.0,g,1,"(x,y,z) (-x+1/2,-y+1/2,z) (-y+1/2,x,z) (y,-x+1/2,z) (-x,-y,-z) (x+1/2,y+1/2,-z) (y+1/2,-x,-z) (-y,x+1/2,-z)"
P 4/n,360,4.0,f,2..,"(1/4,3/4,z) (3/4,1/4,z) (3/4,1/4,-z) (1/4,3/4,-z)"
P 4/n,360,4.0,e,-1,"(0,0,1/2) (1/2,1/2,1/2) (1/2,0,1/2) (0,1/2,1/2)"
P 4/n,360,4.0,d,-1,"(0,0,0) (1/2,1/2,0) (1/2,0,0) (0,1/2,0)"
P 4/n,360,2.0,c,4..,"(1/4,1/4,z) (3/4,3/4,-z)"
P 4/n,360,2.0,b,-4..,"(1/4,3/4,1/2) (3/4,1/4,1/2)"
P 4/n,360,2.0,a,-4..,"(1/4,3/4,0) (3/4,1/4,0)"
P 42/n,361,8.0,g,1,"(x,y,z) (-x,-y,z) (-y+1/2,x+1/2,z+1/2) (y+1/2,-x+1/2,z+1/2) (-x+1/2,-y+1/2,-z+1/2) (x+1/2,y+1/2,-z+1/2) (y,-x,-z) (-y,x,-z)"
P 42/n,361,4.0,f,2..,"(0,0,z) (1/2,1/2,z+1/2) (1/2,1/2,-z+1/2) (0,0,-z)"
P 42/n,361,4.0,e,2..,"(0,1/2,z) (0,1/2,z+1/2) (1/2,0,-z+1/2) (1/2,0,-z)"
P 42/n,361,4.0,d,-1,"(1/4,1/4,3/4) (3/4,3/4,3/4) (1/4,3/4,1/4) (3/4,1/4,1/4)"
P 42/n,361,4.0,c,-1,"(1/4,1/4,1/4) (3/4,3/4,1/4) (1/4,3/4,3/4) (3/4,1/4,3/4)"
P 42/n,361,2.0,b,-4..,"(0,0,1/2) (1/2,1/2,0)"
P 42/n,361,2.0,a,-4..,"(0,0,0) (1/2,1/2,1/2)"
P 42/n,362,8.0,g,1,"(x,y,z) (-x+1/2,-y+1/2,z) (-y,x+1/2,z+1/2) (y+1/2,-x,z+1/2) (-x,-y,-z) (x+1/2,y+1/2,-z) (y,-x+1/2,-z+1/2) (-y+1/2,x,-z+1/2)"
P 42/n,362,4.0,f,2..,"(1/4,1/4,z) (3/4,3/4,z+1/2) (3/4,3/4,-z) (1/4,1/4,-z+1/2)"
P 42/n,362,4.0,e,2..,"(3/4,1/4,z) (3/4,1/4,z+1/2) (1/4,3/4,-z) (1/4,3/4,-z+1/2)"
P 42/n,362,4.0,d,-1,"(0,0,1/2) (1/2,1/2,1/2) (0,1/2,0) (1/2,0,0)"
P 42/n,362,4.0,c,-1,"(0,0,0) (1/2,1/2,0) (0,1/2,1/2) (1/2,0,1/2)"
P 42/n,362,2.0,b,-4..,"(1/4,1/4,3/4) (3/4,3/4,1/4)"
P 42/n,362,2.0,a,-4..,"(1/4,1/4,1/4) (3/4,3/4,3/4)"
I 4/m,363,16.0,i,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x,-y,-z) (x,y,-z) (y,-x,-z) (-y,x,-z)"
I 4/m,363,8.0,h,m..,"(x,y,0) (-x,-y,0) (-y,x,0) (y,-x,0)"
I 4/m,363,8.0,g,2..,"(0,1/2,z) (1/2,0,z) (0,1/2,-z) (1/2,0,-z)"
I 4/m,363,8.0,f,-1,"(1/4,1/4,1/4) (3/4,3/4,1/4) (3/4,1/4,1/4) (1/4,3/4,1/4)"
I 4/m,363,4.0,e,4..,"(0,0,z) (0,0,-z)"
I 4/m,363,4.0,d,-4..,"(0,1/2,1/4) (1/2,0,1/4)"
I 4/m,363,4.0,c,2/m..,"(0,1/2,0) (1/2,0,0)"
I 4/m,363,2.0,b,4/m..,"(0,0,1/2)"
I 4/m,363,2.0,a,4/m..,"(0,0,0)"
I 41/a,364,16.0,f,1,"(x,y,z) (-x+1/2,-y+1/2,z+1/2) (-y,x+1/2,z+1/4) (y+1/2,-x,z+3/4) (-x,-y+1/2,-z+1/4) (x+1/2,y,-z+3/4) (y,-x,-z) (-y+1/2,x+1/2,-z+1/2)"
I 41/a,364,8.0,e,2..,"(0,0,z) (0,1/2,z+1/4) (0,1/2,-z+1/4) (0,0,-z)"
I 41/a,364,8.0,d,-1,"(0,1/4,5/8) (1/2,1/4,1/8) (3/4,1/2,7/8) (3/4,0,3/8)"
I 41/a,364,8.0,c,-1,"(0,1/4,1/8) (1/2,1/4,5/8) (3/4,1/2,3/8) (3/4,0,7/8)"
I 41/a,364,4.0,b,-4..,"(0,0,1/2) (0,1/2,3/4)"
I 41/a,364,4.0,a,-4..,"(0,0,0) (0,1/2,1/4)"
I 41/a,365,16.0,f,1,"(x,y,z) (-x+1/2,-y,z+1/2) (-y+3/4,x+1/4,z+1/4) (y+3/4,-x+3/4,z+3/4) (-x,-y,-z) (x+1/2,y,-z+1/2) (y+1/4,-x+3/4,-z+3/4) (-y+1/4,x+1/4,-z+1/4)"
I 41/a,365,8.0,e,2..,"(0,1/4,z) (1/2,1/4,z+1/4) (0,3/4,-z) (1/2,3/4,-z+3/4)"
I 41/a,365,8.0,d,-1,"(0,0,1/2) (1/2,0,0) (3/4,1/4,3/4) (3/4,3/4,1/4)"
I 41/a,365,8.0,c,-1,"(0,0,0) (1/2,0,1/2) (3/4,1/4,1/4) (3/4,3/4,3/4)"
I 41/a,365,4.0,b,-4..,"(0,1/4,5/8) (1/2,1/4,7/8)"
I 41/a,365,4.0,a,-4..,"(0,1/4,1/8) (1/2,1/4,3/8)"
P 4 2 2,366,8.0,p,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x,y,-z) (x,-y,-z) (y,x,-z) (-y,-x,-z)"
P 4 2 2,366,4.0,o,.2.,"(x,1/2,0) (-x,1/2,0) (1/2,x,0) (1/2,-x,0)"
P 4 2 2,366,4.0,n,.2.,"(x,0,1/2) (-x,0,1/2) (0,x,1/2) (0,-x,1/2)"
P 4 2 2,366,4.0,m,.2.,"(x,1/2,1/2) (-x,1/2,1/2) (1/2,x,1/2) (1/2,-x,1/2)"
P 4 2 2,366,4.0,l,.2.,"(x,0,0) (-x,0,0) (0,x,0) (0,-x,0)"
P 4 2 2,366,4.0,k,..2,"(x,x,1/2) (-x,-x,1/2) (-x,x,1/2) (x,-x,1/2)"
P 4 2 2,366,4.0,j,..2,"(x,x,0) (-x,-x,0) (-x,x,0) (x,-x,0)"
P 4 2 2,366,4.0,i,2..,"(0,1/2,z) (1/2,0,z) (0,1/2,-z) (1/2,0,-z)"
P 4 2 2,366,2.0,h,4..,"(1/2,1/2,z) (1/2,1/2,-z)"
P 4 2 2,366,2.0,g,4..,"(0,0,z) (0,0,-z)"
P 4 2 2,366,2.0,f,222,"(1/2,0,1/2) (0,1/2,1/2)"
P 4 2 2,366,2.0,e,222,"(1/2,0,0) (0,1/2,0)"
P 4 2 2,366,1.0,d,422,"(1/2,1/2,1/2)"
P 4 2 2,366,1.0,c,422,"(1/2,1/2,0)"
P 4 2 2,366,1.0,b,422,"(0,0,1/2)"
P 4 2 2,366,1.0,a,422,"(0,0,0)"
P 4 21 2,367,8.0,g,1,"(x,y,z) (-x,-y,z) (-y+1/2,x+1/2,z) (y+1/2,-x+1/2,z) (-x+1/2,y+1/2,-z) (x+1/2,-y+1/2,-z) (y,x,-z) (-y,-x,-z)"
P 4 21 2,367,4.0,f,..2,"(x,x,1/2) (-x,-x,1/2) (-x+1/2,x+1/2,1/2) (x+1/2,-x+1/2,1/2)"
P 4 21 2,367,4.0,e,..2,"(x,x,0) (-x,-x,0) (-x+1/2,x+1/2,0) (x+1/2,-x+1/2,0)"
P 4 21 2,367,4.0,d,2..,"(0,0,z) (1/2,1/2,z) (1/2,1/2,-z) (0,0,-z)"
P 4 21 2,367,2.0,c,4..,"(0,1/2,z) (1/2,0,-z)"
P 4 21 2,367,2.0,b,2.22,"(0,0,1/2) (1/2,1/2,1/2)"
P 4 21 2,367,2.0,a,2.22,"(0,0,0) (1/2,1/2,0)"
P 41 2 2,368,8.0,d,1,"(x,y,z) (-x,-y,z+1/2) (-y,x,z+1/4) (y,-x,z+3/4) (-x,y,-z) (x,-y,-z+1/2) (y,x,-z+3/4) (-y,-x,-z+1/4)"
P 41 2 2,368,4.0,c,..2,"(x,x,3/8) (-x,-x,7/8) (-x,x,5/8) (x,-x,1/8)"
P 41 2 2,368,4.0,b,.2.,"(1/2,y,0) (1/2,-y,1/2) (-y,1/2,1/4) (y,1/2,3/4)"
P 41 2 2,368,4.0,a,.2.,"(0,y,0) (0,-y,1/2) (-y,0,1/4) (y,0,3/4)"
P 41 21 2,369,8.0,b,1,"(x,y,z) (-x,-y,z+1/2) (-y+1/2,x+1/2,z+1/4) (y+1/2,-x+1/2,z+3/4) (-x+1/2,y+1/2,-z+1/4) (x+1/2,-y+1/2,-z+3/4) (y,x,-z) (-y,-x,-z+1/2)"
P 41 21 2,369,4.0,a,..2,"(x,x,0) (-x,-x,1/2) (-x+1/2,x+1/2,1/4) (x+1/2,-x+1/2,3/4)"
P 42 2 2,370,8.0,p,1,"(x,y,z) (-x,-y,z) (-y,x,z+1/2) (y,-x,z+1/2) (-x,y,-z) (x,-y,-z) (y,x,-z+1/2) (-y,-x,-z+1/2)"
P 42 2 2,370,4.0,o,..2,"(x,x,3/4) (-x,-x,3/4) (-x,x,1/4) (x,-x,1/4)"
P 42 2 2,370,4.0,n,..2,"(x,x,1/4) (-x,-x,1/4) (-x,x,3/4) (x,-x,3/4)"
P 42 2 2,370,4.0,m,.2.,"(x,1/2,0) (-x,1/2,0) (1/2,x,1/2) (1/2,-x,1/2)"
P 42 2 2,370,4.0,l,.2.,"(x,0,1/2) (-x,0,1/2) (0,x,0) (0,-x,0)"
P 42 2 2,370,4.0,k,.2.,"(x,1/2,1/2) (-x,1/2,1/2) (1/2,x,0) (1/2,-x,0)"
P 42 2 2,370,4.0,j,.2.,"(x,0,0) (-x,0,0) (0,x,1/2) (0,-x,1/2)"
P 42 2 2,370,4.0,i,2..,"(0,1/2,z) (1/2,0,z+1/2) (0,1/2,-z) (1/2,0,-z+1/2)"
P 42 2 2,370,4.0,h,2..,"(1/2,1/2,z) (1/2,1/2,z+1/2) (1/2,1/2,-z) (1/2,1/2,-z+1/2)"
P 42 2 2,370,4.0,g,2..,"(0,0,z) (0,0,z+1/2) (0,0,-z) (0,0,-z+1/2)"
P 42 2 2,370,2.0,f,2.22,"(1/2,1/2,1/4) (1/2,1/2,3/4)"
P 42 2 2,370,2.0,e,2.22,"(0,0,1/4) (0,0,3/4)"
P 42 2 2,370,2.0,d,222,"(0,1/2,1/2) (1/2,0,0)"
P 42 2 2,370,2.0,c,222,"(0,1/2,0) (1/2,0,1/2)"
P 42 2 2,370,2.0,b,222,"(1/2,1/2,0) (1/2,1/2,1/2)"
P 42 2 2,370,2.0,a,222,"(0,0,0) (0,0,1/2)"
P 42 21 2,371,8.0,g,1,"(x,y,z) (-x,-y,z) (-y+1/2,x+1/2,z+1/2) (y+1/2,-x+1/2,z+1/2) (-x+1/2,y+1/2,-z+1/2) (x+1/2,-y+1/2,-z+1/2) (y,x,-z) (-y,-x,-z)"
P 42 21 2,371,4.0,f,..2,"(x,x,1/2) (-x,-x,1/2) (-x+1/2,x+1/2,0) (x+1/2,-x+1/2,0)"
P 42 21 2,371,4.0,e,..2,"(x,x,0) (-x,-x,0) (-x+1/2,x+1/2,1/2) (x+1/2,-x+1/2,1/2)"
P 42 21 2,371,4.0,d,2..,"(0,1/2,z) (0,1/2,z+1/2) (1/2,0,-z+1/2) (1/2,0,-z)"
P 42 21 2,371,4.0,c,2..,"(0,0,z) (1/2,1/2,z+1/2) (1/2,1/2,-z+1/2) (0,0,-z)"
P 42 21 2,371,2.0,b,2.22,"(0,0,1/2) (1/2,1/2,0)"
P 42 21 2,371,2.0,a,2.22,"(0,0,0) (1/2,1/2,1/2)"
P 43 2 2,372,8.0,d,1,"(x,y,z) (-x,-y,z+1/2) (-y,x,z+3/4) (y,-x,z+1/4) (-x,y,-z) (x,-y,-z+1/2) (y,x,-z+1/4) (-y,-x,-z+3/4)"
P 43 2 2,372,4.0,c,..2,"(x,x,5/8) (-x,-x,1/8) (-x,x,3/8) (x,-x,7/8)"
P 43 2 2,372,4.0,b,.2.,"(1/2,y,0) (1/2,-y,1/2) (-y,1/2,3/4) (y,1/2,1/4)"
P 43 2 2,372,4.0,a,.2.,"(0,y,0) (0,-y,1/2) (-y,0,3/4) (y,0,1/4)"
P 43 21 2,373,8.0,b,1,"(x,y,z) (-x,-y,z+1/2) (-y+1/2,x+1/2,z+3/4) (y+1/2,-x+1/2,z+1/4) (-x+1/2,y+1/2,-z+3/4) (x+1/2,-y+1/2,-z+1/4) (y,x,-z) (-y,-x,-z+1/2)"
P 43 21 2,373,4.0,a,..2,"(x,x,0) (-x,-x,1/2) (-x+1/2,x+1/2,3/4) (x+1/2,-x+1/2,1/4)"
I 4 2 2,374,16.0,k,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x,y,-z) (x,-y,-z) (y,x,-z) (-y,-x,-z)"
I 4 2 2,374,8.0,j,..2,"(x,x+1/2,1/4) (-x,-x+1/2,1/4) (-x+1/2,x,1/4) (x+1/2,-x,1/4)"
I 4 2 2,374,8.0,i,.2.,"(x,0,1/2) (-x,0,1/2) (0,x,1/2) (0,-x,1/2)"
I 4 2 2,374,8.0,h,.2.,"(x,0,0) (-x,0,0) (0,x,0) (0,-x,0)"
I 4 2 2,374,8.0,g,..2,"(x,x,0) (-x,-x,0) (-x,x,0) (x,-x,0)"
I 4 2 2,374,8.0,f,2..,"(0,1/2,z) (1/2,0,z) (0,1/2,-z) (1/2,0,-z)"
I 4 2 2,374,4.0,e,4..,"(0,0,z) (0,0,-z)"
I 4 2 2,374,4.0,d,2.22,"(0,1/2,1/4) (1/2,0,1/4)"
I 4 2 2,374,4.0,c,222,"(0,1/2,0) (1/2,0,0)"
I 4 2 2,374,2.0,b,422,"(0,0,1/2)"
I 4 2 2,374,2.0,a,422,"(0,0,0)"
I 41 2 2,375,16.0,g,1,"(x,y,z) (-x+1/2,-y+1/2,z+1/2) (-y,x+1/2,z+1/4) (y+1/2,-x,z+3/4) (-x+1/2,y,-z+3/4) (x,-y+1/2,-z+1/4) (y+1/2,x+1/2,-z+1/2) (-y,-x,-z)"
I 41 2 2,375,8.0,f,.2.,"(x,1/4,1/8) (-x+1/2,1/4,5/8) (3/4,x+1/2,3/8) (3/4,-x,7/8)"
I 41 2 2,375,8.0,e,..2,"(x,-x,0) (-x+1/2,x+1/2,1/2) (x,x+1/2,1/4) (-x+1/2,-x,3/4)"
I 41 2 2,375,8.0,d,..2,"(x,x,0) (-x+1/2,-x+1/2,1/2) (-x,x+1/2,1/4) (x+1/2,-x,3/4)"
I 41 2 2,375,8.0,c,2..,"(0,0,z) (0,1/2,z+1/4) (1/2,0,-z+3/4) (1/2,1/2,-z+1/2)"
I 41 2 2,375,4.0,b,2.22,"(0,0,1/2) (0,1/2,3/4)"
I 41 2 2,375,4.0,a,2.22,"(0,0,0) (0,1/2,1/4)"
P 4 m m,376,8.0,g,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (x,-y,z) (-x,y,z) (-y,-x,z) (y,x,z)"
P 4 m m,376,4.0,f,.m.,"(x,1/2,z) (-x,1/2,z) (1/2,x,z) (1/2,-x,z)"
P 4 m m,376,4.0,e,.m.,"(x,0,z) (-x,0,z) (0,x,z) (0,-x,z)"
P 4 m m,376,4.0,d,..m,"(x,x,z) (-x,-x,z) (-x,x,z) (x,-x,z)"
P 4 m m,376,2.0,c,2mm.,"(1/2,0,z) (0,1/2,z)"
P 4 m m,376,1.0,b,4mm,"(1/2,1/2,z)"
P 4 m m,376,1.0,a,4mm,"(0,0,z)"
P 4 b m,377,8.0,d,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (x+1/2,-y+1/2,z) (-x+1/2,y+1/2,z) (-y+1/2,-x+1/2,z) (y+1/2,x+1/2,z)"
P 4 b m,377,4.0,c,..m,"(x,x+1/2,z) (-x,-x+1/2,z) (-x+1/2,x,z) (x+1/2,-x,z)"
P 4 b m,377,2.0,b,2.mm,"(1/2,0,z) (0,1/2,z)"
P 4 b m,377,2.0,a,4..,"(0,0,z) (1/2,1/2,z)"
P 42 c m,378,8.0,e,1,"(x,y,z) (-x,-y,z) (-y,x,z+1/2) (y,-x,z+1/2) (x,-y,z+1/2) (-x,y,z+1/2) (-y,-x,z) (y,x,z)"
P 42 c m,378,4.0,d,..m,"(x,x,z) (-x,-x,z) (-x,x,z+1/2) (x,-x,z+1/2)"
P 42 c m,378,4.0,c,2..,"(0,1/2,z) (1/2,0,z+1/2) (0,1/2,z+1/2) (1/2,0,z)"
P 42 c m,378,2.0,b,2.mm,"(1/2,1/2,z) (1/2,1/2,z+1/2)"
P 42 c m,378,2.0,a,2.mm,"(0,0,z) (0,0,z+1/2)"
P 42 n m,379,8.0,d,1,"(x,y,z) (-x,-y,z) (-y+1/2,x+1/2,z+1/2) (y+1/2,-x+1/2,z+1/2) (x+1/2,-y+1/2,z+1/2) (-x+1/2,y+1/2,z+1/2) (-y,-x,z) (y,x,z)"
P 42 n m,379,4.0,c,..m,"(x,x,z) (-x,-x,z) (-x+1/2,x+1/2,z+1/2) (x+1/2,-x+1/2,z+1/2)"
P 42 n m,379,4.0,b,2..,"(0,1/2,z) (0,1/2,z+1/2) (1/2,0,z+1/2) (1/2,0,z)"
P 42 n m,379,2.0,a,2.mm,"(0,0,z) (1/2,1/2,z+1/2)"
P 4 c c,380,8.0,d,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (x,-y,z+1/2) (-x,y,z+1/2) (-y,-x,z+1/2) (y,x,z+1/2)"
P 4 c c,380,4.0,c,2..,"(0,1/2,z) (1/2,0,z) (0,1/2,z+1/2) (1/2,0,z+1/2)"
