number,multiplicity,wyckoff,wyckoff_in_space,site_symmetry,coordinates
61,16,n,u,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x,y,-z) (x,-y,-z) (y,x,-z) (-y,-x,-z) (-x,-y,-z) (x,y,-z) (y,-x,-z) (-y,x,-z) (x,-y,z) (-x,y,z) (-y,-x,z) (y,x,z)"
61,8,m,t,.m.,"(x,1/2,z) (-x,1/2,z) (1/2,x,z) (1/2,-x,z) (-x,1/2,-z) (x,1/2,-z) (1/2,x,-z) (1/2,-x,-z)"
61,8,l,s,.m.,"(x,0,z) (-x,0,z) (0,x,z) (0,-x,z) (-x,0,-z) (x,0,-z) (0,x,-z) (0,-x,-z)"
61,8,k,r,..m,"(x,x,z) (-x,-x,z) (-x,x,z) (x,-x,z) (-x,x,-z) (x,-x,-z) (x,x,-z) (-x,-x,-z)"
61,8,j,p,m..,"(x,y,0) (-x,-y,0) (-y,x,0) (y,-x,0) (-x,y,0) (x,-y,0) (y,x,0) (-y,-x,0)"
61,4,i,n,m2m.,"(x,1/2,0) (-x,1/2,0) (1/2,x,0) (1/2,-x,0)"
61,4,h,l,m2m.,"(x,0,0) (-x,0,0) (0,x,0) (0,-x,0)"
61,4,g,j,m.2m,"(x,x,0) (-x,-x,0) (-x,x,0) (x,-x,0)"
61,4,f,i,2mm.,"(0,1/2,z) (1/2,0,z) (0,1/2,-z) (1/2,0,-z)"
61,2,e,h,4mm,"(1/2,1/2,z) (1/2,1/2,-z)"
61,2,d,g,4mm,"(0,0,z) (0,0,-z)"
61,2,c,f,mmm.,"(0,1/2,0) (1/2,0,0)"
61,1,b,c,4/mmm,"(1/2,1/2,0)"
61,1,a,a,4/mmm,"(0,0,0)"
